x,y,task,episode,index,timestamp,has_sensor
-367.97876,460.44904,Green_point,data_collection_20251108_054442,0,0.0,True
-305.26562,461.85416,Green_point,data_collection_20251108_054442,3,0.0,True
-431.69037,425.43524,Green_point,data_collection_20251108_054442,7,0.0,True
-444.15442,293.9338,Green_point,data_collection_20251108_054442,10,0.0,True
-580.61755,360.64084,Green_point,data_collection_20251108_054442,14,0.0,True
-610.2831,413.05582,Green_point,data_collection_20251108_054442,17,0.0,True
-505.25754,553.91174,Green_point,data_collection_20251108_054442,21,0.0,True
-415.86752,516.9873,Green_point,data_collection_20251108_054442,24,0.0,True
-516.1439,403.72195,Green_point,data_collection_20251108_054442,28,0.0,True
-561.347,484.34418,Green_point,data_collection_20251108_054442,32,0.0,True
-502.2148,481.59262,Green_point,data_collection_20251108_054442,35,0.0,True
-375.0168,387.00836,Green_point,data_collection_20251108_054442,39,0.0,True
-442.9289,359.1724,Green_point,data_collection_20251108_054442,42,0.0,True
-513.212,332.54547,Green_point,data_collection_20251108_054442,46,0.0,True
-361.38217,308.93918,Green_point,data_collection_20251108_054442,49,0.0,True
-295.62024,362.14188,Green_point,data_collection_20251108_054442,53,0.0,True
-238.9438,389.60562,Green_point,data_collection_20251108_054442,57,0.0,True
-264.35263,311.1423,Green_point,data_collection_20251108_054442,60,0.0,True
-327.0384,257.03906,Green_point,data_collection_20251108_054442,64,0.0,True
-337.65417,181.52206,Green_point,data_collection_20251108_054442,67,0.0,True
-655.10956,-297.33963,Green_point,data_collection_20251108_054442,71,0.0,True
-692.79944,-243.80098,Green_point,data_collection_20251108_054442,74,0.0,True
-694.08936,-175.45396,Green_point,data_collection_20251108_054442,78,0.0,True
-620.3371,137.81361,Green_point,data_collection_20251108_054442,81,0.0,True
-572.5635,198.16187,Green_point,data_collection_20251108_054442,85,0.0,True
-677.07166,172.02426,Green_point,data_collection_20251108_054442,89,0.0,True
-594.85565,-69.16516,Green_point,data_collection_20251108_054442,92,0.0,True
-623.92474,-205.2243,Green_point,data_collection_20251108_054442,96,0.0,True
-596.40106,-255.79474,Green_point,data_collection_20251108_054442,99,0.0,True
-99.54127,-160.14227,Green_point,data_collection_20251108_054442,103,0.0,True
-109.006035,-88.429886,Green_point,data_collection_20251108_054442,106,0.0,True
-353.5322,99.97628,Green_point,data_collection_20251108_054442,110,0.0,True
-633.8386,-128.785,Green_point,data_collection_20251108_054442,114,0.0,True
-164.40207,-131.43323,Green_point,data_collection_20251108_054442,117,0.0,True
-494.54745,37.327515,Green_point,data_collection_20251108_054442,121,0.0,True
-490.08984,158.53728,Green_point,data_collection_20251108_054442,124,0.0,True
-487.88873,98.269394,Green_point,data_collection_20251108_054442,128,0.0,True
-422.93106,76.67648,Green_point,data_collection_20251108_054442,131,0.0,True
-577.51227,37.724453,Green_point,data_collection_20251108_054442,135,0.0,True
-699.43945,48.603203,Green_point,data_collection_20251108_054442,138,0.0,True
